PUMP NAME: Lorentz_ps1200
PRICE: 99999  					# in USD
ELECTRICAL ARCHITECTURE: permanent_magnet		
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
72	0	4.86	40.1	350	0.4
72	5	4.86	36.1	350	0.4
72	10	4.86	15.3	350	0.4
72	15	4.86	16	350	0.4
72	20	4.86	12.5	350	0.4
72	30	4.86	9.7	350	0.4
72	40	4.86	4.7	350	0.64
72	50	4.86	4.2	350	0.64
72	60	4.86	3.9	350	0.64
72	70	4.86	3.4	350	0.64
72	0	5.83	36.7	420	0.4
72	5	5.83	32.7	420	0.4
72	10	5.83	18	420	0.4
72	15	5.83	16.7	420	0.4
72	20	5.83	13.9	420	0.4
72	30	5.83	11.1	420	0.4
72	40	5.83	6	420	0.64
72	50	5.83	4.7	420	0.64
72	60	5.83	4.2	420	0.64
72	70	5.83	3.9	420	0.64
72	0	6.67	39.6	480	0.4
72	5	6.67	35.6	480	0.4
72	10	6.67	20.5	480	0.4
72	15	6.67	18.3	480	0.4
72	20	6.67	15	480	0.4
72	30	6.67	12.2	480	0.4
72	40	6.67	7.8	480	0.64
72	50	6.67	6.1	480	0.64
72	60	6.67	4.8	480	0.64
72	70	6.67	3.9	480	0.64
72	0	9.17	50.7	660	0.4
72	5	9.17	46.7	660	0.4
72	10	9.17	32.2	660	0.4
72	15	9.17	23.8	660	0.4
72	20	9.17	19.4	660	0.4
72	30	9.17	16.7	660	0.4
72	40	9.17	2.4	660	0.64
72	50	9.17	2	660	0.64
72	60	9.17	1.6	660	0.64
72	70	9.17	1.5	660	0.64
96	0	7.5	62.3	720	0.4
96	5	7.5	58.3	720	0.4
96	10	7.5	41.7	720	0.4
96	15	7.5	30	720	0.4
96	20	7.5	24.2	720	0.4
96	30	7.5	16.7	720	0.4
96	40	7.5	12	720	0.64
96	50	7.5	7.3	720	0.64
96	60	7.5	6.7	720	0.64
96	70	7.5	9.3	720	0.64
96	0	8.75	82.1	840	0.4
96	5	8.75	78.1	840	0.4
96	10	8.75	55.6	840	0.4
96	15	8.75	41.1	840	0.4
96	20	8.75	32.2	840	0.4
96	30	8.75	22.2	840	0.4
96	40	8.75	19.4	840	0.64
96	50	8.75	14.4	840	0.64
96	60	8.75	10	840	0.64
96	70	8.75	14	840	0.64
96	0	10.42	73.4	1000	0.4
96	5	10.42	69.4	1000	0.4
96	10	10.42	58.3	1000	0.4
96	15	10.42	38.9	1000	0.4
96	20	10.42	34.2	1000	0.4
96	30	10.42	20.2	1000	0.4
96	40	10.42	17.5	1000	0.64
96	50	10.42	14.4	1000	0.64
96	60	10.42	12.5	1000	0.64
96	70	10.42	17.5	1000	0.64
96	0	12.5	85.9	1200	0.4
96	5	12.5	81.9	1200	0.4
96	10	12.5	68.1	1200	0.4
96	15	12.5	45.9	1200	0.4
96	20	12.5	40.6	1200	0.4
96	30	12.5	22.5	1200	0.4
96	40	12.5	19.4	1200	0.64
96	50	12.5	15.6	1200	0.64
96	60	12.5	13.1	1200	0.64
96	70	12.5	18.1	1200	0.64
